query_id,persona_id,split,status,gold_count,memory_count,updated,topic_query,gold_relative_position
train-00000,13,train,aligned,1,130,FALSE,Health,0.3875968992248062
train-00001,229,train,aligned,2,121,TRUE,Maritime,0.31666666666666665
train-00002,950,train,aligned,2,126,TRUE,Communication,0.408
train-00003,191,train,aligned,1,126,FALSE,Health,0.688
train-00004,911,train,aligned,1,114,FALSE,health,0.02654867256637168
train-00005,412,train,aligned,2,125,TRUE,Entertainment,0.5564516129032258
train-00006,295,train,missing_exact_sequence,0,130,FALSE,finance,
train-00007,887,train,aligned,1,100,FALSE,Entertainment,0.12121212121212122
train-00008,690,train,missing_exact_sequence,0,106,FALSE,events,
train-00009,469,train,aligned,1,98,FALSE,Health,0.38144329896907214
train-00010,171,val,aligned,1,114,FALSE,Events,0.1504424778761062
train-00011,205,train,aligned,1,134,FALSE,Health,0.48120300751879697
train-00012,194,val,aligned,2,128,TRUE,PublicSpeaking,0.49606299212598426
train-00013,333,train,aligned,2,113,TRUE,Work,0.08035714285714286
train-00014,188,train,aligned,1,133,FALSE,Community,0.6666666666666666
train-00015,160,train,aligned,1,111,FALSE,Relationships,0.6181818181818182
train-00016,397,train,aligned,2,139,TRUE,Travel,0.08695652173913043
train-00017,804,val,missing_exact_sequence,0,108,FALSE,sports,
train-00018,756,train,aligned,1,106,FALSE,Food,0.2
train-00019,869,train,aligned,1,131,FALSE,Home,0.26153846153846155
train-00020,987,val,aligned,1,108,FALSE,Mental Health,0.4953271028037383
train-00021,192,train,aligned,1,115,FALSE,Motivation,0.17543859649122806
train-00022,877,train,aligned,1,134,FALSE,music,0.5864661654135338
train-00023,153,train,missing_exact_sequence,0,113,FALSE,technology,
train-00024,861,train,aligned,1,118,FALSE,Sustainability,0.3418803418803419
train-00025,673,val,missing_exact_sequence,0,127,FALSE,business,
train-00026,640,train,aligned,2,112,FALSE,self-improvement,0.7207207207207207
train-00027,405,train,aligned,2,110,TRUE,Work,0.13761467889908258
train-00028,496,val,aligned,2,121,TRUE,Relationships,0.05
train-00029,629,train,aligned,2,119,FALSE,Fitness,0.05084745762711865
train-00030,956,train,aligned,2,130,FALSE,productivity,0.5503875968992248
train-00031,752,train,aligned,1,94,FALSE,Wellness,0.46236559139784944
train-00032,628,val,aligned,1,123,FALSE,Health,0.8524590163934426
train-00033,19,val,aligned,2,102,FALSE,Food,0.42574257425742573
train-00034,871,train,aligned,3,95,FALSE,Food,0.14893617021276595
train-00035,602,val,missing_exact_sequence,0,128,FALSE,finance,
train-00036,38,train,aligned,2,121,FALSE,travel,0.14166666666666666
train-00037,577,train,aligned,2,130,TRUE,Work,0.26356589147286824
train-00038,121,train,aligned,2,139,FALSE,food,0.5434782608695652
train-00039,350,train,aligned,2,85,FALSE,sports,0.6904761904761905
train-00040,691,train,aligned,2,137,TRUE,Entertainment,0.5
train-00041,214,val,aligned,2,113,FALSE,Business,0.49107142857142855
