"persona_id","fold"
"109",1
"249",2
"582",3
"150",4
"326",5
"47",1
"869",2
"441",3
"224",4
"303",5
"585",1
"631",2
"291",3
"140",4
"239",5
"182",1
"596",2
"464",3
"783",4
"144",5
"843",1
"821",2
"266",3
"456",4
"873",5
"556",1
"487",2
"324",3
"774",4
"211",5
"12",1
"470",2
"458",3
"563",4
"808",5
"389",1
"375",2
"587",3
"669",4
"895",5
"187",1
"159",2
"358",3
"682",4
"842",5
"921",1
"124",2
"857",3
"132",4
"514",5
"335",1
"532",2
"666",3
"952",4
"342",5
"923",1
"572",2
"33",3
"264",4
"269",5
"34",1
"699",2
"876",3
"567",4
"815",5
"731",1
"246",2
"271",3
"434",4
"492",5
"553",1
"459",2
"388",3
"156",4
"906",5
"354",1
"64",2
"638",3
"758",4
"170",5
"428",1
"622",2
"188",3
"250",4
"417",5
"878",1
"674",2
"824",3
"735",4
"855",5
"739",1
"863",2
"575",3
"625",4
"268",5
"852",1
"485",2
"872",3
"466",4
"877",5
"854",1
"922",2
"177",3
"419",4
"472",5
"5",1
"696",2
"443",3
"287",4
"410",5
"693",1
"839",2
"690",3
"49",4
"350",5
"228",1
"368",2
"971",3
"719",4
"223",5
"343",1
"776",2
"555",3
"657",4
"302",5
"491",1
"825",2
"357",3
"196",4
"255",5
"813",1
"395",2
"708",3
"369",4
"961",5
"308",1
"979",2
"160",3
"20",4
"620",5
"322",1
"566",2
"871",3
"738",4
"316",5
"931",1
"68",2
"683",3
"803",4
"744",5
"241",1
"414",2
"304",3
"95",4
"910",5
"7",1
"798",2
"157",3
"586",4
"976",5
"90",1
"612",2
"576",3
"397",4
"874",5
"57",1
"220",2
"155",3
"629",4
"955",5
"1",1
"894",2
"490",3
"785",4
"83",5
"94",1
"611",2
"385",3
"501",4
"930",5
"536",1
"245",2
"284",3
"240",4
"276",5
"841",1
"512",2
"444",3
"700",4
"996",5
"430",1
"905",2
"990",3
"191",4
"516",5
"468",1
"691",2
"756",3
"130",4
"274",5
"272",1
"557",2
"77",3
"819",4
"580",5
"743",1
"105",2
"503",3
"777",4
"360",5
"710",1
"69",2
"192",3
"541",4
"372",5
"22",1
"746",2
"262",3
"482",4
"861",5
"751",1
"881",2
"446",3
"836",4
"909",5
"994",1
"954",2
"782",3
"988",4
"848",5
"500",1
"40",2
"993",3
"792",4
"546",5
"891",1
"35",2
"339",3
"498",4
"52",5
"887",1
"134",2
"455",3
"856",4
"151",5
"51",1
"270",2
"17",3
"968",4
"478",5
"465",1
"405",2
"242",3
"755",4
"333",5
"641",1
"934",2
"950",3
"169",4
"888",5
"552",1
"440",2
"402",3
"18",4
"315",5
"981",1
"511",2
"423",3
"3",4
"520",5
"348",1
"850",2
"686",3
"122",4
"4",5
"412",1
"442",2
"437",3
"765",4
"624",5
"381",1
"108",2
"278",3
"664",4
"680",5
"480",1
"413",2
"146",3
"918",4
"38",5
"201",1
"705",2
"36",3
"452",4
"37",5
"969",1
"964",2
"614",3
"457",4
"637",5
"812",1
"796",2
"349",3
"651",4
"509",5
"113",1
"772",2
"98",3
"163",4
"752",5
"900",1
"956",2
"166",3
"875",4
"903",5
"337",1
"828",2
"560",3
"161",4
"56",5
"718",1
"545",2
"115",3
"983",4
"847",5
"24",1
"406",2
"379",3
"422",4
"396",5
"535",1
"712",2
"41",3
"907",4
"257",5
"50",1
"551",2
"329",3
"121",4
"138",5
"706",1
"99",2
"238",3
"252",4
"380",5
"775",1
"366",2
"766",3
"175",4
"711",5
"165",1
"846",2
