method,metric,mean,ci_low,ci_high,queries,personas
bm25,recall_at_5,0.25747200107947643,0.25058490240308867,0.26420795439551503,14822,639
bm25,mrr_at_10,0.23812982846176747,0.23156186136530274,0.24460642767319732,14822,639
bm25,budget_recall,0.28887801916070704,0.28193281913812385,0.29581942002228984,14822,639
bm25,candidate_recall,0.8649529977960689,0.8600807337341632,0.8706811516193586,14822,639
logistic,recall_at_5,0.3577564881032699,0.3503942875035696,0.36505087002694797,14822,639
logistic,mrr_at_10,0.3038551391860662,0.297395300318829,0.31034246693830697,14822,639
logistic,budget_recall,0.393019385597985,0.3847915169578392,0.4008029813344085,14822,639
logistic,candidate_recall,0.8649529977960689,0.8600807337341632,0.8706811516193586,14822,639
logistic_no_position,recall_at_5,0.35181936760671073,0.34472427726692917,0.35879693526521733,14822,639
logistic_no_position,mrr_at_10,0.29930251685075593,0.2927340855690786,0.30575070338824034,14822,639
logistic_no_position,budget_recall,0.385744164080421,0.3781250515368018,0.3935560603956364,14822,639
logistic_no_position,candidate_recall,0.8649529977960689,0.8600807337341632,0.8706811516193586,14822,639
random_forest,recall_at_5,0.34750708406422887,0.3403192462614987,0.35498469187419457,14822,639
random_forest,mrr_at_10,0.3054305001360055,0.2986973719020824,0.3120180434865125,14822,639
random_forest,budget_recall,0.389100661179328,0.3816997831406763,0.3963904660697904,14822,639
random_forest,candidate_recall,0.8649529977960689,0.8600807337341632,0.8706811516193586,14822,639
rrf,recall_at_5,0.32145347006701747,0.31401434861749844,0.32860321134408155,14822,639
rrf,mrr_at_10,0.28550588678776506,0.2788510764326097,0.2919932475358495,14822,639
rrf,budget_recall,0.35522646516439527,0.3478552190964459,0.362483895869411,14822,639
rrf,candidate_recall,0.8649529977960689,0.8600807337341632,0.8706811516193586,14822,639
semantic,recall_at_5,0.33753879368506273,0.3300818747094563,0.3449392166097341,14822,639
semantic,mrr_at_10,0.28882557138359327,0.28201740706072737,0.29518502511738093,14822,639
semantic,budget_recall,0.3725543111590878,0.36466366560236874,0.3804009138196226,14822,639
semantic,candidate_recall,0.8649529977960689,0.8600807337341632,0.8706811516193586,14822,639
