raw_row,reason
266,missing_train_output
334,missing_train_input
522,missing_train_input
574,missing_train_input
909,missing_train_input
1016,missing_train_input
1058,missing_train_input
1673,missing_train_input
2635,missing_train_output
3398,missing_train_input
3494,missing_train_input
3600,missing_train_input
3693,missing_train_output
3981,missing_train_input
3988,missing_train_input
4406,missing_train_input
4416,missing_train_input
4455,missing_train_output
4618,missing_train_input
4978,missing_train_input
5033,missing_train_input
5089,missing_train_output
5456,missing_train_input
5577,missing_train_input
5880,missing_train_input
5887,missing_train_input
5904,missing_train_input
6396,missing_train_input
7443,missing_train_input
7708,missing_train_input
8311,missing_train_input
8731,missing_train_output
8873,missing_train_input
9147,missing_train_output
9341,missing_train_input
9640,missing_train_input
9729,missing_train_input
10334,missing_train_input
10522,missing_train_input
10574,missing_train_input
10909,missing_train_input
11016,missing_train_input
11058,missing_train_input
11520,missing_train_output
11673,missing_train_input
13398,missing_train_input
13494,missing_train_input;missing_train_output
13600,missing_train_input
13981,missing_train_input
13988,missing_train_input
14406,missing_train_input
14416,missing_train_input
14618,missing_train_input
14978,missing_train_input
15033,missing_train_input
15456,missing_train_input
15577,missing_train_input
15880,missing_train_input
15887,missing_train_input
15904,missing_train_input
16396,missing_train_input
17443,missing_train_input
17708,missing_train_input
18311,missing_train_input
18873,missing_train_input
19341,missing_train_input
19640,missing_train_input
19729,missing_train_input
20334,missing_train_input
20522,missing_train_input
20574,missing_train_input
20909,missing_train_input
21016,missing_train_input
21058,missing_train_input
21673,missing_train_input
22635,missing_train_output
23398,missing_train_input
23494,missing_train_input
23600,missing_train_input
23981,missing_train_input
23988,missing_train_input
24406,missing_train_input
24416,missing_train_input
24618,missing_train_input
24978,missing_train_input
25033,missing_train_input
25089,missing_train_output
25456,missing_train_input
25577,missing_train_input
25880,missing_train_input
25887,missing_train_input
25904,missing_train_input
26396,missing_train_input
27443,missing_train_input
27708,missing_train_input
28311,missing_train_input
28873,missing_train_input
29341,missing_train_input
29640,missing_train_input
29729,missing_train_input
30334,missing_train_input
30522,missing_train_input
30574,missing_train_input
30909,missing_train_input
31016,missing_train_input
31058,missing_train_input
31520,missing_train_output
31673,missing_train_input
33398,missing_train_input
33494,missing_train_input;missing_train_output
33575,missing_train_output
33600,missing_train_input
33981,missing_train_input
33988,missing_train_input
34406,missing_train_input
34416,missing_train_input
34618,missing_train_input
34978,missing_train_input
35033,missing_train_input
35456,missing_train_input
35577,missing_train_input
35880,missing_train_input
35887,missing_train_input
35904,missing_train_input
36396,missing_train_input
36562,missing_train_output
37443,missing_train_input
37708,missing_train_input
38311,missing_train_input
38873,missing_train_input
39341,missing_train_input
39640,missing_train_input
39729,missing_train_input
40248,missing_train_output
40266,missing_train_output
40311,missing_train_output
40334,missing_train_input
40522,missing_train_input
40574,missing_train_input
40637,missing_train_output
40909,missing_train_input;missing_train_output
41058,missing_train_input
41239,missing_train_input
41673,missing_train_input
42139,missing_train_output
42635,missing_train_output
42991,missing_train_output
43398,missing_train_input
43494,missing_train_input
43575,missing_train_output
43600,missing_train_input
43693,missing_train_output
43744,missing_train_output
43746,missing_train_output
43981,missing_train_input
43988,missing_train_input
44406,missing_train_input
44416,missing_train_input
44516,missing_train_output
44618,missing_train_input;missing_train_output
44628,missing_train_output
44978,missing_train_output
45033,missing_train_input
45089,missing_train_output
45456,missing_train_input
45577,missing_train_input
45880,missing_train_input;missing_train_output
45887,missing_train_input;missing_train_output
45904,missing_train_input
45924,missing_train_output
46008,missing_train_output
46396,missing_train_input
47040,missing_train_output
47377,missing_train_output
47443,missing_train_input
47566,missing_train_output
47708,missing_train_input;missing_train_output
48243,missing_train_output
48520,missing_train_output
48731,missing_train_output
48751,missing_train_output
48873,missing_train_input;missing_train_output
48879,missing_train_output
49341,missing_train_input;missing_train_output
49640,missing_train_input
49729,missing_train_input;missing_train_output
50334,missing_train_input
50522,missing_train_input
50574,missing_train_input
50909,missing_train_input
51058,missing_train_input
51239,missing_train_input
51673,missing_train_input
53398,missing_train_input
53494,missing_train_input
53600,missing_train_input
53981,missing_train_input
53988,missing_train_input
54406,missing_train_input
54416,missing_train_input
54618,missing_train_input
55033,missing_train_input
55456,missing_train_input
55577,missing_train_input
55880,missing_train_input
55887,missing_train_input
55904,missing_train_input
56396,missing_train_input
57443,missing_train_input
57708,missing_train_input
58873,missing_train_input
59341,missing_train_input
59640,missing_train_input
59729,missing_train_input
60334,missing_train_input
60522,missing_train_input
60574,missing_train_input
60909,missing_train_input
61058,missing_train_input
61239,missing_train_input
61673,missing_train_input
63398,missing_train_input
63494,missing_train_input
63600,missing_train_input
63981,missing_train_input
63988,missing_train_input
64406,missing_train_input
64416,missing_train_input
64618,missing_train_input
64978,missing_train_input
65033,missing_train_input
65456,missing_train_input
65577,missing_train_input
65880,missing_train_input
65887,missing_train_input
65904,missing_train_input
66396,missing_train_input
67443,missing_train_input
67708,missing_train_input
68873,missing_train_input;missing_train_output
69341,missing_train_input
69640,missing_train_input
69729,missing_train_input
70334,missing_train_input
70522,missing_train_input
70574,missing_train_input
70909,missing_train_input
71058,missing_train_input
71239,missing_train_input
71520,missing_train_output
71673,missing_train_input
73398,missing_train_input
73494,missing_train_input
73575,missing_train_output
73600,missing_train_input
73981,missing_train_input
73988,missing_train_input
74406,missing_train_input
74416,missing_train_input
74618,missing_train_input
74978,missing_train_input
75033,missing_train_input
75456,missing_train_input
75577,missing_train_input
75880,missing_train_input
75887,missing_train_input
75904,missing_train_input
76396,missing_train_input
76562,missing_train_output
77443,missing_train_input
77708,missing_train_input
78873,missing_train_input
79341,missing_train_input
79640,missing_train_input
79729,missing_train_input
80334,missing_train_input
80522,missing_train_input
80574,missing_train_input
80637,missing_train_output
80909,missing_train_input
81016,missing_train_input
81058,missing_train_input
81673,missing_train_input
81822,missing_train_output
82139,missing_train_output
83398,missing_train_input
83494,missing_train_input
83575,missing_train_output
83600,missing_train_input
83981,missing_train_input
83988,missing_train_input
84406,missing_train_input
84416,missing_train_input
84618,missing_train_input
84978,missing_train_input
85033,missing_train_input
85456,missing_train_input
85577,missing_train_input
85880,missing_train_input
85887,missing_train_input
85904,missing_train_input
86396,missing_train_input
87443,missing_train_input
87708,missing_train_input
88155,missing_train_output
88311,missing_train_input
88873,missing_train_input
89341,missing_train_input
89640,missing_train_input
89654,missing_train_output
89729,missing_train_input
90334,missing_train_input
90522,missing_train_input
90574,missing_train_input
90909,missing_train_input;missing_train_output
91016,missing_train_input
91058,missing_train_input
91673,missing_train_input
92618,missing_train_output
93398,missing_train_input
93494,missing_train_input;missing_train_output
93600,missing_train_input
93981,missing_train_input
93988,missing_train_input
94406,missing_train_input
94416,missing_train_input;missing_train_output
94618,missing_train_input
94978,missing_train_input
95033,missing_train_input
95456,missing_train_input
95577,missing_train_input
95688,missing_train_output
95880,missing_train_input;missing_train_output
95887,missing_train_input
95904,missing_train_input
96396,missing_train_input
97443,missing_train_input
97708,missing_train_input
98243,missing_train_output
98311,missing_train_input
98873,missing_train_input
99341,missing_train_input
99640,missing_train_input
99729,missing_train_input
